Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0077402,2012-12-12,2012-12-12,,Dawn of the Dead,https://www.imdb.com/title/tt0077402/,movie,7.9,127,1978,"Horror, Thriller",103977,1978-09-01,George A. Romero
2,tt0063350,2012-12-12,2012-12-12,,Night of the Living Dead,https://www.imdb.com/title/tt0063350/,movie,7.9,96,1968,Horror,105780,1968-10-01,George A. Romero
3,tt0365748,2012-12-12,2012-12-12,,Shaun of the Dead,https://www.imdb.com/title/tt0365748/,movie,7.9,99,2004,"Comedy, Horror",472726,2004-03-29,Edgar Wright
4,tt1156398,2012-12-12,2012-12-12,,Zombieland,https://www.imdb.com/title/tt1156398/,movie,7.6,88,2009,"Adventure, Comedy, Horror, Sci-Fi",463019,2009-09-25,Ruben Fleischer
5,tt0089885,2012-12-12,2012-12-12,,Re-Animator,https://www.imdb.com/title/tt0089885/,movie,7.2,105,1985,"Comedy, Horror, Sci-Fi",50098,1985-05-24,Stuart Gordon
6,tt0088993,2012-12-12,2012-12-12,,Day of the Dead,https://www.imdb.com/title/tt0088993/,movie,7.2,96,1985,"Horror, Thriller",58370,1985-06-30,George A. Romero
7,tt0089907,2012-12-12,2012-12-12,,The Return of the Living Dead,https://www.imdb.com/title/tt0089907/,movie,7.4,91,1985,"Comedy, Horror, Sci-Fi",49431,1985-04-25,Dan O'Bannon
8,tt0103873,2012-12-12,2012-12-12,,Braindead,https://www.imdb.com/title/tt0103873/,movie,7.5,104,1992,"Comedy, Horror",86907,1992-06-04,Peter Jackson
9,tt0106308,2012-12-12,2012-12-12,,Army of Darkness,https://www.imdb.com/title/tt0106308/,movie,7.6,81,1992,"Comedy, Horror",152237,1992-10-09,Sam Raimi
10,tt1520211,2012-12-12,2012-12-12,,The Walking Dead,https://www.imdb.com/title/tt1520211/,tvSeries,8.3,44,2010,"Drama, Horror, Thriller",792945,2010-10-31,
