Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt5700672,2017-01-19,2017-01-19,,Busanhaeng,https://www.imdb.com/title/tt5700672/,movie,7.5,118,2016,"Action, Horror, Thriller",111697,2016-05-13,Sang-ho Yeon
2,tt1278340,2017-01-19,2017-01-19,,Død snø,https://www.imdb.com/title/tt1278340/,movie,6.3,90,2009,"Comedy, Horror",61132,2009-01-09,Tommy Wirkola
3,tt2832470,2017-01-19,2017-01-19,,Død snø 2,https://www.imdb.com/title/tt2832470/,movie,6.9,100,2014,"Action, Comedy, Horror",20652,2014-01-19,Tommy Wirkola
4,tt1156398,2017-01-19,2017-01-19,,Zombieland,https://www.imdb.com/title/tt1156398/,movie,7.6,88,2009,"Adventure, Comedy, Horror, Sci-Fi",463019,2009-09-25,Ruben Fleischer
5,tt1709143,2017-01-19,2017-01-19,,The Last Days on Mars,https://www.imdb.com/title/tt1709143/,movie,5.5,98,2013,"Adventure, Horror, Sci-Fi, Thriller",33260,2013-05-20,Ruairi Robinson
6,tt1023500,2017-01-19,2017-01-19,,Doghouse,https://www.imdb.com/title/tt1023500/,movie,6.0,89,2009,"Comedy, Horror, Sci-Fi",20202,2009-06-12,Jake West
7,tt1038988,2017-01-19,2017-01-19,,[Rec],https://www.imdb.com/title/tt1038988/,movie,7.5,78,2007,"Horror, Mystery, Thriller",154213,2007-08-29,"Jaume Balagueró, Paco Plaza"
8,tt1245112,2017-01-19,2017-01-19,,[Rec]²,https://www.imdb.com/title/tt1245112/,movie,6.5,85,2009,"Horror, Mystery, Thriller",64355,2009-09-02,"Jaume Balagueró, Paco Plaza"
9,tt1649444,2017-01-19,2017-01-19,,[Rec]³: Génesis,https://www.imdb.com/title/tt1649444/,movie,5.0,80,2012,"Horror, Thriller",30987,2012-03-09,Paco Plaza
10,tt1649443,2017-01-19,2017-01-19,,[REC] 4: Apocalipsis,https://www.imdb.com/title/tt1649443/,movie,5.4,95,2014,"Horror, Thriller",14505,2014-09-09,Jaume Balagueró
11,tt3775202,2017-01-19,2017-01-19,,I Am a Hero,https://www.imdb.com/title/tt3775202/,movie,6.8,126,2015,"Action, Horror",4460,2015-10-13,Shinsuke Sato
12,tt3467412,2017-01-19,2017-01-19,,Extinction,https://www.imdb.com/title/tt3467412/,movie,5.8,112,2015,"Drama, Horror, Sci-Fi",14796,2015-07-18,Miguel Ángel Vivas
13,tt3923662,2017-01-19,2017-01-19,,The Rezort,https://www.imdb.com/title/tt3923662/,movie,5.3,93,2015,"Horror, Sci-Fi, Thriller",7543,2015-06-22,Steve Barker
14,tt0455407,2017-01-19,2017-01-19,,The Crazies,https://www.imdb.com/title/tt0455407/,movie,6.5,101,2010,"Horror, Thriller",104951,2010-02-23,Breck Eisner
15,tt3816458,2017-01-19,2017-01-19,,Dead Rising,https://www.imdb.com/title/tt3816458/,movie,5.2,118,2015,"Action, Horror",7748,2015-03-27,Zach Lipovsky
16,tt5481404,2017-01-19,2017-01-19,,Dead Rising: Endgame,https://www.imdb.com/title/tt5481404/,movie,4.8,96,2016,"Action, Horror, Sci-Fi",2286,2016-06-20,Pat Williams
17,tt0816711,2017-01-19,2017-01-19,,World War Z,https://www.imdb.com/title/tt0816711/,movie,7.0,116,2013,"Action, Adventure, Horror, Sci-Fi, Thriller",557031,2013-06-02,Marc Forster
18,tt0289043,2017-01-19,2017-01-19,,28 Days Later...,https://www.imdb.com/title/tt0289043/,movie,7.6,113,2002,"Drama, Horror, Sci-Fi, Thriller",347569,2002-11-01,Danny Boyle
19,tt0463854,2017-01-19,2017-01-19,,28 Weeks Later,https://www.imdb.com/title/tt0463854/,movie,7.0,100,2007,"Drama, Horror, Sci-Fi",242872,2007-04-26,Juan Carlos Fresnadillo
20,tt0480249,2017-01-19,2017-01-19,,I Am Legend,https://www.imdb.com/title/tt0480249/,movie,7.2,101,2007,"Drama, Sci-Fi, Thriller",638018,2007-12-05,Francis Lawrence
21,tt1077258,2017-01-19,2017-01-19,,Planet Terror,https://www.imdb.com/title/tt1077258/,movie,7.1,105,2007,"Action, Comedy, Horror, Thriller",189459,2007-06-21,Robert Rodriguez
22,tt3007132,2017-01-19,2017-01-19,,Daylight's End,https://www.imdb.com/title/tt3007132/,movie,5.4,105,2016,"Action, Fantasy, Horror, Sci-Fi",4272,2016-04-16,William Kaufman
23,tt2597892,2017-01-19,2017-01-19,,Viral,https://www.imdb.com/title/tt2597892/,movie,5.5,85,2016,"Drama, Horror, Sci-Fi, Thriller",7232,2016-07-29,"Henry Joost, Ariel Schulman"
24,tt1453245,2017-01-19,2017-01-19,,Devil's Playground,https://www.imdb.com/title/tt1453245/,movie,5.2,92,2010,"Action, Horror",4702,2010-08-21,Mark McQueen
25,tt0780583,2017-01-19,2017-01-19,,Plane Dead,https://www.imdb.com/title/tt0780583/,movie,5.2,94,2007,"Action, Horror, Sci-Fi",8733,2007-03-21,Scott Thomas
26,tt1612319,2017-01-19,2017-01-19,,Re-Kill,https://www.imdb.com/title/tt1612319/,movie,5.0,88,2015,"Action, Horror",2337,2015-10-16,Valeri Milev
27,tt1183276,2017-01-19,2017-01-19,,La horde,https://www.imdb.com/title/tt1183276/,movie,5.9,90,2009,"Action, Horror",14519,2009-08-28,"Yannick Dahan, Benjamin Rocher"
28,tt1362058,2017-01-19,2017-01-19,,Cockneys vs Zombies,https://www.imdb.com/title/tt1362058/,movie,5.9,88,2012,"Action, Comedy, Horror",17488,2012-08-23,Matthias Hoene
29,tt1082868,2017-01-19,2017-01-19,,Quarantine,https://www.imdb.com/title/tt1082868/,movie,6.0,89,2008,"Horror, Thriller",65677,2008-10-10,John Erick Dowdle
30,tt1699231,2017-01-19,2017-01-19,,Quarantine 2: Terminal,https://www.imdb.com/title/tt1699231/,movie,5.2,86,2011,"Horror, Mystery, Sci-Fi, Thriller",17422,2011-01-27,John Pogue
31,tt2281159,2017-01-19,2017-01-19,,Contracted,https://www.imdb.com/title/tt2281159/,movie,5.3,84,2013,"Drama, Horror, Thriller",13480,2013-07-07,Eric England
32,tt4255110,2017-01-19,2017-01-19,,Contracted: Phase II,https://www.imdb.com/title/tt4255110/,movie,5.1,78,2015,"Drama, Horror, Thriller",4013,2015-07-05,Josh Forbes
33,tt2070604,2017-01-19,2017-01-19,,April Apocalypse,https://www.imdb.com/title/tt2070604/,movie,5.1,84,2013,"Comedy, Horror, Romance",898,2013-10-12,Jarret Tarnol
34,tt2436516,2017-01-19,2017-01-19,,Go Goa Gone,https://www.imdb.com/title/tt2436516/,movie,6.6,108,2013,"Action, Adventure, Comedy, Horror",10462,2013-05-10,"Raj Nidimoru, Krishna D.K."
35,tt2490326,2017-01-19,2017-01-19,,Cooties,https://www.imdb.com/title/tt2490326/,movie,5.7,88,2014,"Action, Comedy, Horror, Sci-Fi",20880,2014-01-18,"Cary Murnion, Jonathan Milott"
36,tt1991245,2017-01-19,2017-01-19,,Chernobyl Diaries,https://www.imdb.com/title/tt1991245/,movie,5.0,86,2012,"Horror, Mystery, Thriller",61008,2012-05-24,Bradley Parker
37,tt2535470,2017-01-19,2017-01-19,,Wyrmwood,https://www.imdb.com/title/tt2535470/,movie,6.2,98,2014,"Action, Comedy, Horror",14747,2014-09-19,Kiah Roache-Turner
38,tt2638662,2017-01-19,2017-01-19,,Summer Camp,https://www.imdb.com/title/tt2638662/,movie,5.1,81,2015,Horror,3017,2015-08-30,Alberto Marini
39,tt2787824,2017-01-19,2017-01-19,,Goal of the Dead,https://www.imdb.com/title/tt2787824/,movie,5.5,140,2014,"Comedy, Horror",1312,2014-02-27,"Thierry Poiraud, Benjamin Rocher"
40,tt4547056,2017-01-19,2017-01-19,,The Girl with All the Gifts,https://www.imdb.com/title/tt4547056/,movie,6.7,111,2016,"Drama, Horror, Sci-Fi, Thriller",47295,2016-08-03,Colm McCarthy
41,tt0120804,2017-01-19,2017-01-19,,Resident Evil,https://www.imdb.com/title/tt0120804/,movie,6.7,100,2002,"Action, Horror, Sci-Fi",233019,2002-03-12,Paul W.S. Anderson
42,tt0318627,2017-01-19,2017-01-19,,Resident Evil: Apocalypse,https://www.imdb.com/title/tt0318627/,movie,6.2,94,2004,"Action, Horror, Sci-Fi, Thriller",176168,2004-08-23,Alexander Witt
43,tt0432021,2017-01-19,2017-01-19,,Resident Evil: Extinction,https://www.imdb.com/title/tt0432021/,movie,6.3,94,2007,"Action, Horror, Sci-Fi, Thriller",174047,2007-09-20,Russell Mulcahy
44,tt1220634,2017-01-19,2017-01-19,,Resident Evil: Afterlife,https://www.imdb.com/title/tt1220634/,movie,5.9,96,2010,"Action, Adventure, Drama, Fantasy, Horror, Sci-Fi",153965,2010-09-02,Paul W.S. Anderson
45,tt1855325,2017-01-19,2017-01-19,,Resident Evil: Retribution,https://www.imdb.com/title/tt1855325/,movie,5.4,95,2012,"Action, Horror, Sci-Fi, Thriller",125799,2012-09-03,Paul W.S. Anderson
46,tt2592614,2017-01-19,2017-01-19,,Resident Evil: The Final Chapter,https://www.imdb.com/title/tt2592614/,movie,5.6,107,2016,"Action, Horror, Sci-Fi, Thriller",75655,2016-12-13,Paul W.S. Anderson
47,tt0775440,2017-01-19,2017-01-19,,Cell,https://www.imdb.com/title/tt0775440/,movie,4.3,98,2016,"Action, Drama, Horror, Sci-Fi, Thriller",22355,2016-05-19,Tod Williams
48,tt0365748,2017-01-19,2017-01-19,,Shaun of the Dead,https://www.imdb.com/title/tt0365748/,movie,7.9,99,2004,"Comedy, Horror",472726,2004-03-29,Edgar Wright
49,tt1727776,2017-01-19,2017-01-19,,Scouts Guide to the Zombie Apocalypse,https://www.imdb.com/title/tt1727776/,movie,6.3,93,2015,"Action, Comedy, Horror",40796,2015-10-23,Christopher Landon
50,tt0363547,2017-01-19,2017-01-19,,Dawn of the Dead,https://www.imdb.com/title/tt0363547/,movie,7.3,101,2004,Horror,221523,2004-03-10,Zack Snyder
51,tt1817771,2017-01-19,2017-01-19,,Freaks of Nature,https://www.imdb.com/title/tt1817771/,movie,5.9,92,2015,"Comedy, Horror, Sci-Fi",9800,2015-10-30,Robbie Pickering
52,tt1838571,2017-01-19,2017-01-19,,Juan de los muertos,https://www.imdb.com/title/tt1838571/,movie,6.5,92,2011,"Action, Comedy, Horror",9198,2011-09-10,Alejandro Brugués
53,tt1386925,2017-01-19,2017-01-19,,The Dead,https://www.imdb.com/title/tt1386925/,movie,5.8,105,2010,Horror,8374,2010-08-30,"Jonathan Ford, Howard J. Ford"
54,tt2917336,2017-01-19,2017-01-19,,The Dead 2: India,https://www.imdb.com/title/tt2917336/,movie,5.2,98,2013,Horror,1673,2013-08-22,"Jonathan Ford, Howard J. Ford"
55,tt0415679,2017-01-19,2017-01-19,,Boy Eats Girl,https://www.imdb.com/title/tt0415679/,movie,5.1,80,2005,"Comedy, Fantasy, Horror",3652,2005-07-03,Stephen Bradley
56,tt2210463,2017-01-19,2017-01-19,,Battle of the Damned,https://www.imdb.com/title/tt2210463/,movie,4.5,88,2013,"Action, Adventure, Horror, Sci-Fi, Thriller",3497,2013-07-12,Christopher Hatton
57,tt1920846,2017-01-19,2017-01-19,,Another World,https://www.imdb.com/title/tt1920846/,movie,4.8,99,2014,"Action, Horror, Sci-Fi",4174,2014-09-14,Eitan Reuven
58,tt1989485,2017-01-19,2017-01-19,,Dead Before Dawn 3D,https://www.imdb.com/title/tt1989485/,movie,4.7,88,2012,"Adventure, Comedy, Horror",3139,2012-09-28,April Mullen
59,tt1562567,2017-01-19,2017-01-19,,Bloodwork,https://www.imdb.com/title/tt1562567/,movie,5.2,96,2012,"Horror, Sci-Fi, Thriller",1827,2012-05-10,Eric Wostenberg
60,tt2071550,2017-01-19,2017-01-19,,Open Grave,https://www.imdb.com/title/tt2071550/,movie,6.3,102,2013,"Horror, Mystery, Thriller",25699,2013-08-14,Gonzalo López-Gallego
61,tt4035898,2017-01-19,2017-01-19,,The Evil in Us,https://www.imdb.com/title/tt4035898/,movie,5.4,90,2016,Horror,2325,2016-08-19,Jason William Lee
62,tt3684500,2017-01-19,2017-01-19,,Downhill,https://www.imdb.com/title/tt3684500/,movie,3.4,82,2016,"Action, Horror, Sport, Thriller",526,2016-05-15,Patricio Valladares
63,tt3602128,2017-01-19,2017-01-19,,Night of the Living Deb,https://www.imdb.com/title/tt3602128/,movie,5.5,85,2015,"Comedy, Horror, Romance",3166,2015-05-30,Kyle Rankin
64,tt3547682,2017-01-19,2017-01-19,,Sorgenfri,https://www.imdb.com/title/tt3547682/,movie,5.6,85,2015,"Horror, Thriller",3024,2015-09-29,Bo Mikkelsen
65,tt0848557,2017-01-19,2017-01-19,,Diary of the Dead,https://www.imdb.com/title/tt0848557/,movie,5.7,95,2007,"Fantasy, Horror, Sci-Fi, Thriller",44349,2007-09-08,George A. Romero
66,tt0489018,2017-01-19,2017-01-19,,Day of the Dead,https://www.imdb.com/title/tt0489018/,video,4.5,86,2008,"Action, Horror, Thriller",19624,2008-04-08,Steve Miner
67,tt1146320,2017-01-19,2017-01-19,,Mutants,https://www.imdb.com/title/tt1146320/,movie,5.6,95,2009,"Drama, Horror, Sci-Fi",3749,2009-01-31,David Morlet
68,tt4687276,2017-01-19,2017-01-19,,Range 15,https://www.imdb.com/title/tt4687276/,movie,5.2,89,2016,"Action, Comedy, Horror",4872,2016-06-15,Ross Patterson
69,tt0418819,2017-01-19,2017-01-19,,Land of the Dead,https://www.imdb.com/title/tt0418819/,movie,6.2,93,2005,"Horror, Sci-Fi, Thriller",87469,2005-06-18,George A. Romero
70,tt2784512,2017-01-19,2017-01-19,,Zombeavers,https://www.imdb.com/title/tt2784512/,movie,4.8,77,2014,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",14952,2014-04-13,Jordan Rubin
71,tt0428390,2017-01-19,2017-01-19,,Severed,https://www.imdb.com/title/tt0428390/,movie,4.6,93,2005,"Horror, Sci-Fi, Thriller",1941,2005-09-25,Carl Bessai
72,tt3774802,2017-01-19,2017-01-19,,Pandemic,https://www.imdb.com/title/tt3774802/,movie,4.4,91,2016,"Action, Horror, Sci-Fi, Thriller",6991,2016-02-26,John Suits
73,tt1583356,2017-01-19,2017-01-19,,Rammbock,https://www.imdb.com/title/tt1583356/,movie,6.3,63,2010,"Action, Drama, Horror, Sci-Fi, Thriller",4916,2010-01-19,Marvin Kren
74,tt1705134,2017-01-19,2017-01-19,,State of Emergency,https://www.imdb.com/title/tt1705134/,movie,5.3,90,2011,"Horror, Sci-Fi, Thriller",2749,2011-10-05,Turner Clay
75,tt2272350,2017-01-19,2017-01-19,,The Battery,https://www.imdb.com/title/tt2272350/,movie,6.4,101,2012,"Adventure, Drama, Horror",7581,2012-10-13,Jeremy Gardner
76,tt2772092,2017-01-19,2017-01-19,,Antisocial,https://www.imdb.com/title/tt2772092/,movie,4.5,90,2013,"Horror, Sci-Fi, Thriller",2807,2013-07-31,Cody Calahan
77,tt0339840,2017-01-19,2017-01-19,,Undead,https://www.imdb.com/title/tt0339840/,movie,5.5,104,2003,"Action, Comedy, Horror, Sci-Fi",12279,2003-02-27,"Michael Spierig, Peter Spierig"
78,tt1438534,2017-01-19,2017-01-19,,Primal,https://www.imdb.com/title/tt1438534/,movie,4.9,80,2010,"Horror, Thriller",5649,2010-08-26,Josh Reed
