Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt2604704,2015-01-28,2015-01-28,,Reipu zonbi: Lust of the dead 2,https://www.imdb.com/title/tt2604704/,movie,3.9,67,2013,Horror,258,2013-03-23,Naoyuki Tomomatsu
2,tt2436516,2015-01-28,2015-01-28,,Go Goa Gone,https://www.imdb.com/title/tt2436516/,movie,6.6,108,2013,"Action, Adventure, Comedy, Horror",10462,2013-05-10,"Raj Nidimoru, Krishna D.K."
3,tt2573822,2015-01-28,2015-01-28,,Utopia,https://www.imdb.com/title/tt2573822/,movie,6.6,72,2013,"Horror, Music",70,2013-03-17,Daniel William Bones
4,tt2820808,2015-01-28,2015-01-28,,Area 407: Part Two,https://www.imdb.com/title/tt2820808/,movie,3.5,,2013,"Horror, Thriller",35,2013-11-27,Jay Lee
5,tt2279241,2015-01-28,2015-01-28,,Rockabilly Zombie Weekend,https://www.imdb.com/title/tt2279241/,movie,3.7,88,2013,Horror,275,2013-02-17,Jaime Velez Soto
6,tt2542616,2015-01-28,2015-01-28,,Miss Zombie,https://www.imdb.com/title/tt2542616/,movie,6.2,85,2013,Horror,447,2013-09-09,SABU
7,tt2344508,2015-01-28,2015-01-28,,Night of the Living 3D Dead,https://www.imdb.com/title/tt2344508/,movie,5.6,96,2013,Horror,156,2013-10-07,Samuel Victor
8,tt2390968,2015-01-28,2015-01-28,,Bloody Border,https://www.imdb.com/title/tt2390968/,movie,4.6,92,2013,"Action, Horror, Western",23,2013-10-29,Bryan C. Goff
9,tt2848896,2015-01-28,2015-01-28,,Degenerates,https://www.imdb.com/title/tt2848896/,movie,5.8,105,2013,"Action, Thriller",24,2013-03-15,Carlos Suarez
10,tt2633598,2015-01-28,2015-01-28,,Rise of the Zombie,https://www.imdb.com/title/tt2633598/,movie,3.9,86,2013,"Drama, Horror, Thriller",332,2013-04-05,"Luke Kenny, Devaki Singh"
11,tt2673854,2015-01-28,2015-01-28,,Midget Zombie Takeover,https://www.imdb.com/title/tt2673854/,movie,5.4,73,2013,"Comedy, Horror",70,2013-02-08,Glenn Berggoetz
12,tt1832932,2015-01-28,2015-01-28,,Dead Man Working,https://www.imdb.com/title/tt1832932/,movie,5.6,71,2013,Comedy,29,2013-03-08,L.E. Salas
13,tt1588173,2015-01-28,2015-01-28,,Warm Bodies,https://www.imdb.com/title/tt1588173/,movie,6.9,98,2013,"Comedy, Horror, Romance",209476,2013-01-16,Jonathan Levine
14,tt0816711,2015-01-28,2015-01-28,,World War Z,https://www.imdb.com/title/tt0816711/,movie,7.0,116,2013,"Action, Adventure, Horror, Sci-Fi, Thriller",557031,2013-06-02,Marc Forster
15,tt2450186,2015-01-28,2015-01-28,,V/H/S/2,https://www.imdb.com/title/tt2450186/,movie,6.1,96,2013,"Horror, Thriller",33555,2013-01-19,"Gregg Hale, Jason Eisener, Adam Wingard, Simon Barrett, Gareth Evans, Eduardo Sánchez, Timo Tjahjanto"
16,tt1709143,2015-01-28,2015-01-28,,The Last Days on Mars,https://www.imdb.com/title/tt1709143/,movie,5.5,98,2013,"Adventure, Horror, Sci-Fi, Thriller",33260,2013-05-20,Ruairi Robinson
17,tt2071550,2015-01-28,2015-01-28,,Open Grave,https://www.imdb.com/title/tt2071550/,movie,6.3,102,2013,"Horror, Mystery, Thriller",25699,2013-08-14,Gonzalo López-Gallego
18,tt2093270,2015-01-28,2015-01-28,,The Returned,https://www.imdb.com/title/tt2093270/,movie,5.9,98,2013,"Crime, Drama, Sci-Fi, Thriller",7785,2013-10-18,Manuel Carballo
19,tt2784512,2015-01-28,2015-01-28,,Zombeavers,https://www.imdb.com/title/tt2784512/,movie,4.8,77,2014,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",14952,2014-04-13,Jordan Rubin
20,tt2581244,2015-01-28,2015-01-28,,Life After Beth,https://www.imdb.com/title/tt2581244/,movie,5.6,89,2014,"Comedy, Fantasy, Horror, Romance",18137,2014-01-19,Jeff Baena
21,tt2832470,2015-01-28,2015-01-28,,Død snø 2,https://www.imdb.com/title/tt2832470/,movie,6.9,100,2014,"Action, Comedy, Horror",20652,2014-01-19,Tommy Wirkola
22,tt3339674,2015-01-28,2015-01-28,,Burying the Ex,https://www.imdb.com/title/tt3339674/,movie,5.4,89,2014,"Comedy, Horror, Romance",9184,2014-09-04,Joe Dante
23,tt3608654,2015-01-28,2015-01-28,,The Coed and the Zombie Stoner,https://www.imdb.com/title/tt3608654/,movie,3.7,91,2014,"Comedy, Horror, Romance, Sci-Fi",1166,2014-04-18,Glenn Miller
